parameter,mean,std
main_deflector_parameters_theta_E,0.8009261888436728,0.14945580503971198
main_deflector_parameters_gamma1,0.0008517792412445209,0.12078434425424078
main_deflector_parameters_gamma2,-0.00028682126418747776,0.12023539724948396
main_deflector_parameters_gamma,1.9986799005420268,0.1997252113835058
main_deflector_parameters_e1,-0.00082039480101824,0.20017530682227316
main_deflector_parameters_e2,0.0008600010055183573,0.1995097456217728
main_deflector_parameters_center_x,-0.00012284203234141965,0.06987501997456065
main_deflector_parameters_center_y,0.00024335236309871712,0.07041883236396296
source_parameters_center_x,-0.0003817534081347235,0.09975176360484171
source_parameters_center_y,0.0005799500614880662,0.09934802408307913
